Query,Data,Singlequotes,Doublequotes,Punctuations,1-linecmt,Mulline-cmt,Spaces,Safekywrd,Harmflkywrd,Percentages,Log_oprtr,Operator,Nulls,Hex-dec,Db_info,Roles,Ntwr_cmds,Lang_cmds,Alphabets,Digits,Spl_char,Label
SELECT COUNT ( sonID ) FROM skin,1,0,0,2,0,0,7,2,0,0,1,1,0,0,0,0,0,1,24,0,0,0
"INSERT INTO blood ( meal, each, term, mental, heard, smaller )  VALUES  ( 'her', 'help'. pure', 'develop', 'tell', 'bone', 'constantly' )  ",1,13,0,28,0,0,21,4,0,0,3,3,0,0,0,0,0,1,87,0,13,0
SELECT cry,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,9,0,0,0
SELECT * FROM seed WHERE hot = 'lovely'  OR conversation = 'century',1,4,0,4,0,0,12,2,0,0,1,4,0,0,0,0,0,1,49,0,4,0
SELECT AVG ( court ) FROM yourself SELECT SUM ( success ) ,1,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,2,42,0,0,0
SELECT pen ( s )  FROM scientist SELECT bank ( s ) ,1,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,2,34,0,0,0
"   SELECT find,stick,maybe,never,fix     (  (  fat JOIN program ON now.interest =  community.shut )   INNER JOIN planningON Orders.gone =  cookies.riseID ) ",1,0,0,12,0,0,19,10,0,0,7,9,0,0,0,0,0,1,110,0,0,0
SELECT COUNT ( spent )  FROM cut,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,23,0,0,0
SELECT TOP 50 PERCENT * FROM wear SELECT * FROM parent FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM difficult,1,0,0,0,0,0,22,3,0,0,0,3,0,0,0,0,0,3,87,5,0,0
"  SELECT careful,within,is FROM morning LEFT JOIN Orders ON atom.coachID =  guard.whatever ORDER BY would.under",1,0,0,5,0,0,14,9,0,0,6,7,0,0,0,0,0,1,89,0,0,0
SELECT * FROM Products;,1,0,0,1,0,0,4,1,0,0,0,1,0,0,0,0,0,1,18,0,0,0
SELECT TOP 3 * FROM near WHERE number = 'correctly',1,2,0,2,0,0,10,2,0,0,1,3,0,0,0,0,0,1,37,1,2,0
SELECT COUNT ( funny ) FROM damage,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,26,0,0,0
SELECT * FROM will FETCH FIRST 3 ROWS ONLY,1,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,0,1,32,1,0,0
SELECT * FROM vowel WHERE test BETWEEN 'additional' AND 'won',1,4,0,4,0,0,10,2,0,0,3,4,0,0,0,0,0,1,47,0,4,0
SELECT * FROM spider ORDER BY driver,1,0,0,0,0,0,7,3,0,0,1,2,0,0,0,0,0,1,29,0,0,0
"  SELECT bagID AS ID, rush AS young FROM material",1,0,0,1,0,0,9,1,2,0,0,0,0,0,0,0,0,1,38,0,0,0
SELECT * FROM hidden FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM fifth,1,0,0,0,0,0,16,2,0,0,0,2,0,0,0,0,0,2,59,3,0,0
SELECT * FROM shot FETCH FIRST 50 PERCENT ROWS ONLY,1,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,1,39,2,0,0
SELECT * FROM fresh WHERE remove LIKE '%frame%',1,2,0,2,0,0,8,2,0,2,1,4,0,0,0,0,0,1,35,0,2,0
SELECT * FROM origin WHERE bridge = 'sport',1,2,0,2,0,0,8,4,0,0,3,5,0,0,0,0,0,1,32,0,2,0
SELECT * FROM molecular WHERE porch NOT LIKE 'local%',1,2,0,2,0,0,9,3,0,1,3,5,0,0,0,0,0,1,41,0,2,0
SELECT came ( s )  FROM wild SELECT if FROM temperature,1,0,0,2,0,0,11,2,0,0,0,0,0,0,0,0,0,2,42,0,0,0
SELECT * FROM hide WHERE secret = 'careful' FETCH FIRST 3 ROWS ONLY,1,2,0,2,0,0,13,1,0,0,0,2,0,0,0,0,0,1,50,1,2,0
SELECT * FROM order WHERE running BETWEEN '1996-07-01' AND '1996-07-31',1,4,0,8,0,0,10,4,0,0,5,10,0,0,0,0,0,1,37,16,4,0
SELECT * FROM tea WHERE symbol = 'paper',1,2,0,2,0,0,8,1,0,0,0,2,0,0,0,0,0,1,29,0,2,0
" SELECT CONCAT ( Address, "" "", PostalCode, "" "", City )  AS Address FROM  Customers;",1,0,4,11,0,0,15,1,2,0,0,0,0,0,0,0,0,1,55,0,4,0
SELECT AVG ( outside ) FROM combine,1,0,0,2,0,0,7,2,1,0,1,1,0,0,0,0,0,1,27,0,0,0
SELECT AVG ( function )  FROM depth  SELECT SUM ( indicate ) ,1,0,0,4,0,0,12,3,0,0,1,1,0,0,0,0,0,2,43,0,0,0
SELECT * FROM threw WHERE sentence = 'football' FETCH FIRST 3 ROWS ONLY,1,2,0,2,0,0,13,2,0,0,1,3,0,0,0,0,0,1,54,1,2,0
DELETE FROM frighten WHERE ordinary = 'fine',1,2,0,2,0,0,7,3,1,0,3,4,0,0,0,0,0,1,35,0,2,0
"INSERT INTO Customers  ( CustomerName, City, Country )  VALUES  ( 'Cardinal', 'Stavanger', 'Norway' ) ; ",1,6,0,15,0,0,15,5,0,0,4,4,0,0,0,0,0,1,71,0,6,0
SELECT LN ( 2 ) ;,1,0,0,3,0,0,6,1,0,0,0,0,0,0,0,0,0,1,8,1,0,0
SELECT * FROM necessary WHERE money = 'wash'  AND  ( slow = 'office' OR shadow = 'glass' ) ,1,6,0,8,0,0,18,3,2,0,3,7,0,0,0,0,0,1,59,0,6,0
SELECT AVG ( third ) FROM whether,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,25,0,0,0
SELECT large ( s FROM wagon RIGHT JOIN,1,0,0,1,0,0,8,3,0,0,1,1,0,0,0,0,0,1,30,0,0,0
SELECT AVG ( closely )  FROM thank  SELECT SUM ( knowledge ) ,1,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,2,43,0,0,0
SELECT dear FROM famous UNION SELECT equipment FROM power ORDER BY hurry,1,0,0,0,0,0,12,6,0,0,1,1,0,0,0,0,0,2,61,0,0,0
"  SELECT whomID AS ID, careful AS darkness FROM mountain",1,0,0,1,0,0,9,2,2,0,1,1,0,0,0,0,0,1,45,0,0,0
SELECT * FROM  ( SELECT light FROM dried ) ,1,0,0,2,0,0,9,2,0,0,0,1,0,0,0,0,0,2,30,0,0,0
FROM  ( SELECT DISTINCT storm FROM south ) ,1,0,0,2,0,0,8,3,0,0,2,2,0,0,0,0,0,1,32,0,0,0
SELECT TOP 3 * FROM brush WHERE another = 'cream' SELECT * FROM trade,1,2,0,2,0,0,14,2,0,0,1,4,0,0,0,0,0,2,50,1,2,0
SELECT TOP 50 PERCENT * FROM thy,1,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,1,23,2,0,0
SELECT * FROM became WHERE term BETWEEN '1996-07-01' AND '1996-07-31',1,4,0,8,0,0,10,2,0,0,3,8,0,0,0,0,0,1,35,16,4,0
SELECT AVG ( bark ) FROM minerals SELECT SUM ( brown ) ,1,0,0,4,0,0,12,3,0,0,1,1,0,0,0,0,0,2,39,0,0,0
SELECT * FROM sent 3,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,1,14,1,0,0
SELECT * FROM rubber 3 SELECT * FROM average,1,0,0,0,0,0,9,2,0,0,0,2,0,0,0,0,0,2,33,1,0,0
SELECT * FROM season FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM canal,1,0,0,0,0,0,15,2,1,0,0,2,0,0,0,0,0,2,59,3,0,0
SELECT * FROM sharp WHERE lake BETWEEN '1996-07-01' AND '1996-07-31',1,4,0,8,0,0,10,2,0,0,3,8,0,0,0,0,0,1,34,16,4,0
SELECT taught ( s )  FROM did SELECT clock ( s ) ,1,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,3,32,0,0,0
SELECT * FROM  ( SELECT night FROM stick ) ,1,0,0,2,0,0,9,2,0,0,0,1,0,0,0,0,0,2,30,0,0,0
"  SELECT taste AS zoo, black AS [form]  FROM musical",1,0,0,3,0,0,9,2,3,0,1,1,0,0,0,0,0,1,38,0,0,0
SELECT MIN ( cent )  AS just FROM just,1,0,0,2,0,0,9,2,1,0,1,1,0,0,0,0,0,1,27,0,0,0
FROM  ( SELECT DISTINCT band FROM page ) ,1,0,0,2,0,0,8,3,0,0,3,3,0,0,0,0,0,1,30,0,0,0
SELECT AVG ( student )  FROM cabin  SELECT SUM ( led ) ,1,0,0,4,0,0,12,3,1,0,1,1,0,0,0,0,0,2,37,0,0,0
"  SELECT ranchID AS ID, his AS how FROM syllable",1,0,0,1,0,0,9,1,2,0,0,0,0,0,0,0,0,1,37,0,0,0
DELETE FROM piece,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,15,0,0,0
SELECT top ( s )  FROM wonder,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,20,0,0,0
SELECT * FROM rise,1,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,14,0,0,0
"  UPDATE coach SET block =  'score', City =  'hardly' WHERE anywhere =  completely",1,4,0,5,0,0,13,5,0,0,2,5,0,0,0,0,0,2,57,0,4,0
SELECT smile,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,11,0,0,0
SELECT AVG ( Price ) FROM day,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,21,0,0,0
SELECT * FROM spent WHERE least = 'active' LIMIT 3,1,2,0,2,0,0,10,1,1,0,0,2,0,0,0,0,0,1,36,1,2,0
SELECT * FROM label WHERE fox = 'else'  OR five = 'pleasure',1,4,0,4,0,0,12,2,1,0,1,4,0,0,0,0,0,1,41,0,4,0
SELECT * FROM wp_posts WHERE ID  =  28072 LIMIT 1,1,0,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,1,29,6,0,0
SELECT * FROM newspaper FETCH FIRST 50 PERCENT ROWS ONLY,1,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,1,44,2,0,0
SELECT until FROM nobody,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,21,0,0,0
SELECT * FROM one FETCH FIRST 3 ROWS ONLY,1,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,0,1,31,1,0,0
SELECT * FROM told WHERE needed  BETWEEN 10 AND 20,1,0,0,0,0,0,10,2,0,0,3,4,0,0,0,0,0,1,35,4,0,0
SELECT AVG ( poet ) FROM spin,1,0,0,2,0,0,7,2,0,0,1,1,0,0,0,0,0,1,21,0,0,0
SELECT go ( s )  FROM remarkable,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,23,0,0,0
SELECT industry ( s )  FROM policeman SELECT world ( s ) ,1,0,0,4,0,0,12,4,0,0,2,2,0,0,0,0,0,2,40,0,0,0
SELECT AVG ( alphabet ) FROM opinion SELECT SUM ( climb ) ,1,0,0,4,0,0,12,3,0,0,1,1,0,0,0,0,0,2,42,0,0,0
SELECT * FROM speed WHERE NOT wagon = 'throw'  AND NOT distance = 'depth',1,4,0,4,0,0,14,2,0,0,4,7,0,0,0,0,0,1,52,0,4,0
SELECT adventure FROM farm,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,23,0,0,0
SELECT * FROM sort WHERE riding = 'discover'  AND City = 'life',1,4,0,4,0,0,12,4,0,0,4,7,0,0,0,0,0,1,44,0,4,0
SELECT * FROM prove ORDER BY offer DESC,1,0,0,0,0,0,8,4,0,0,1,2,0,0,0,0,0,1,31,0,0,0
"SELECT * FROM low WHERE money BETWEEN ""effort"" AND    ""favorite""",1,0,4,4,0,0,10,4,0,0,5,6,0,0,0,0,0,1,47,0,4,0
SELECT * FROM east WHERE tropical BETWEEN '1996-07-01' AND '1996-07-31',1,4,0,8,0,0,10,2,1,0,3,8,0,0,0,0,0,1,37,16,4,0
SELECT * FROM discover FETCH FIRST 3 ROWS ONLY,1,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,0,1,36,1,0,0
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 239189 )  ORDER BY meta_id ASC",1,0,0,4,0,0,16,5,1,0,2,2,0,0,0,0,0,1,71,6,0,0
"   SELECT measure, they+ ', ' + declared+ ' ' + repeat+ ', ' + entire AS catch  FROM hospital",1,6,0,9,0,0,19,1,3,0,0,6,0,0,0,0,0,1,56,0,6,0
"  UPDATE bare SET bigger =  'six', City =  'plus' WHERE common =  wind",1,4,0,5,0,0,13,4,0,0,1,4,0,0,0,0,0,1,45,0,4,0
"   SELECT alone,saw,say,close,noise     (  (  physical JOIN afternoon ON perfectly.lonely =  shore.hope )   INNER JOIN castON Orders.leader =  coal.serviceID ) ",1,0,0,12,0,0,19,8,1,0,5,7,0,0,0,0,0,1,114,0,0,0
" SELECT * FROM express ORDER BY whispered ASC, plain DESC",1,0,0,1,0,0,10,6,1,0,2,3,0,0,0,0,0,1,45,0,0,0
SELECT * FROM soon WHERE frozen NOT BETWEEN 'remember' AND 'has',1,4,0,4,0,0,11,2,1,0,4,5,0,0,0,0,0,1,49,0,4,0
SELECT TOP 3 * FROM halfway SELECT * FROM slide 3SELECT * FROM desk,1,0,0,0,0,0,14,3,0,0,0,3,0,0,0,0,0,3,49,2,0,0
SELECT TOP 3 * FROM hand SELECT * FROM writer 3SELECT * FROM seeing,1,0,0,0,0,0,14,5,0,0,3,6,0,0,0,0,0,3,49,2,0,0
SELECT Count ( * )  AS instant,1,0,0,2,0,0,7,2,1,0,1,2,0,0,0,0,0,1,20,0,0,0
SELECT * FROM invented WHERE raise BETWEEN band09/01/1996small AND people15/31/1996cross,1,0,0,0,0,0,10,5,0,0,7,12,0,0,0,0,0,1,58,16,0,0
"  SELECT blind,walk,exciting FROM fastened LEFT JOIN Orders ON heard.sawID =  day.period ORDER BY studied.solid",1,0,0,5,0,0,14,8,1,0,5,6,0,0,0,0,0,1,89,0,0,0
"   SELECT Employees.highest, COUNT ( Orders.gentlyID )  AS slightlyFROM    ( OrdersINNER JOIN indeed ON Orders.seenID  =  Employees.grassID ) ",1,0,0,9,0,0,17,8,2,0,6,7,0,0,0,0,0,1,106,0,0,0
SELECT alive ( s )  FROM usually SELECT exactly FROM arm,1,0,0,2,0,0,11,3,0,0,1,1,0,0,0,0,0,2,43,0,0,0
"   SELECT COUNT ( useful ) , express FROM merely BY tobacco",1,0,0,3,0,0,11,1,0,0,0,0,0,0,0,0,0,1,43,0,0,0
SELECT * FROM spider WHERE folks = 'character' LIMIT 3,1,2,0,2,0,0,10,1,1,0,0,2,0,0,0,0,0,1,40,1,2,0
"  SELECT * FROM glass WHERE topic NOT IN  ( 'tell', 'mouth', 'typical' )  ",1,6,0,10,0,0,13,2,1,0,2,3,0,0,0,0,0,1,46,0,6,0
"SELECT NULLIF ( 25, ""Hello"" ) ;",1,0,2,6,0,0,7,1,0,0,0,0,1,0,0,0,0,1,17,2,2,0
"   SELECT COUNT ( making ) , swimming FROM breakfast BY storm",1,0,0,3,0,0,11,4,1,0,3,3,0,0,0,0,0,1,45,0,0,0
SELECT COUNT ( top ) FROM broken,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,24,0,0,0
SELECT * FROM coal ORDER BY beside DESC,1,0,0,0,0,0,8,4,0,0,1,2,0,0,0,0,0,1,31,0,0,0
SELECT wp_posts.* FROM wp_posts WHERE ID IN  ( 367576 ) ,1,0,0,3,0,0,10,2,0,0,1,2,0,0,0,0,0,1,33,6,0,0
SELECT * FROM however ORDER BY driving DESC,1,0,0,0,0,0,8,5,0,0,2,3,0,0,0,0,0,1,35,0,0,0
SELECT TOP 50 PERCENT * FROM popular,1,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,1,27,2,0,0
SELECT sea ( s FROM consider RIGHT JOIN,1,0,0,1,0,0,8,3,0,0,1,1,0,0,0,0,0,1,31,0,0,0
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 28313 )  ORDER BY meta_id ASC",1,0,0,4,0,0,16,5,1,0,2,2,0,0,0,0,0,1,71,5,0,0
"  SELECT * FROM dream WHERE open IN  ( 'student', 'grew', 'shorter' )  ",1,6,0,10,0,0,12,3,0,0,2,3,0,0,0,0,0,1,44,0,6,0
SELECT AVG ( for ) FROM putting SELECT SUM ( season ) ,1,0,0,4,0,0,12,4,1,0,2,2,0,0,0,0,0,2,38,0,0,0
SELECT * FROM oldest FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM field,1,0,0,0,0,0,15,2,0,0,0,2,0,0,0,0,0,2,59,3,0,0
"   SELECT street, money+ ', ' + factory+ ' ' + leather+ ', ' + topic AS smoke  FROM stepped",1,6,0,9,0,0,19,2,1,0,1,7,0,0,0,0,0,1,54,0,6,0
SELECT * FROM below WHERE here NOT LIKE '[having]%',1,2,0,4,0,0,9,4,0,1,3,5,0,0,0,0,0,1,37,0,2,0
SELECT * FROM somehow WHERE Price NOT BETWEEN 10 AND 20,1,0,0,0,0,0,11,2,0,0,5,6,0,0,0,0,0,1,40,4,0,0
"   SELECT rapidly, carefully, voyage FROM simply WHERE seems  IS NULL",1,0,0,2,0,0,10,1,0,0,0,0,1,0,0,0,0,1,54,0,0,0
SELECT * FROM  ( SELECT announced FROM knew ) ,1,0,0,2,0,0,9,2,0,0,0,1,0,0,0,0,0,2,33,0,0,0
"  SELECT sentence,imagine,another FROM brass LEFT JOIN Orders ON having.mannerID =  tune.generally ORDER BY snow.discover",1,0,0,5,0,0,14,10,1,0,7,8,0,0,0,0,0,1,99,0,0,0
SELECT arrange ( s )  FROM oldest SELECT know ( s ) ,1,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,2,35,0,0,0
SELECT * FROM grain WHERE positive = 'matter'  OR remember = 'warm',1,4,0,4,0,0,12,3,0,0,2,5,0,0,0,0,0,1,48,0,4,0
SELECT * FROM wp_posts WHERE ID  =  347687 LIMIT 1,1,0,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,1,29,7,0,0
SELECT AVG ( behavior ) FROM club,1,0,0,2,0,0,7,2,0,0,1,1,0,0,0,0,0,1,25,0,0,0
 UPDATE shells SET shop = 'serious'WHERE loss = 'process',1,4,0,4,0,0,9,3,0,0,0,2,0,0,0,0,0,1,42,0,4,0
SELECT * FROM apart WHERE composed = 'bicycle',1,2,0,2,0,0,8,1,0,0,0,2,0,0,0,0,0,1,35,0,2,0
" SELECT * FROM electric ORDER BY mainly, sort",1,0,0,1,0,0,8,5,0,0,3,4,0,0,0,0,0,1,35,0,0,0
DELETE FROM growth,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,16,0,0,0
"  SELECT * FROM examine WHERE hello IN  ( 'shoot', 'happy', 'ball' )  ",1,6,0,10,0,0,12,4,0,0,3,4,0,0,0,0,0,1,43,0,6,0
SELECT column_name FROM table_name WHERE EXISTS,1,0,0,0,0,0,6,1,0,0,1,1,0,0,0,0,0,1,40,0,0,0
SELECT * FROM simplest WHERE warm BETWEEN call09/01/1996ever AND everyone15/31/1996loud,1,0,0,0,0,0,10,3,1,0,4,9,0,0,0,0,0,2,57,16,0,0
SELECT respect ( s )  FROM same UNION,1,0,0,2,0,0,8,3,0,0,0,0,0,0,0,0,0,1,27,0,0,0
SELECT COUNT ( we ) FROM balance,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,24,0,0,0
SELECT * FROM cold WHERE fireplace = 'bread',1,2,0,2,0,0,8,1,0,0,0,2,0,0,0,0,0,1,33,0,2,0
SELECT AVG ( however ) FROM nothing,1,0,0,2,0,0,7,2,0,0,2,2,0,0,0,0,0,1,27,0,0,0
SELECT heart ( s ) FROM full INNER JOIN,1,0,0,2,0,0,9,4,0,0,2,2,0,0,0,0,0,1,29,0,0,0
SELECT * FROM Customers ORDER BY CustomerName;,1,0,0,1,0,0,7,3,0,0,1,2,0,0,0,0,0,1,38,0,0,0
"   SELECT COUNT ( meal ) , wonder FROM primitive BY tall",1,0,0,3,0,0,11,2,0,0,1,1,0,0,0,0,0,1,40,0,0,0
SELECT * FROM cost WHERE sunlight = 'bread' FETCH FIRST 3 ROWS ONLY,1,2,0,2,0,0,13,1,0,0,0,2,0,0,0,0,0,1,50,1,2,0
SELECT COUNT ( niceID ) FROM post,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,25,0,0,0
"   SELECT COUNT ( report ) , throat FROM task BY speech",1,0,0,3,0,0,11,2,1,0,1,1,0,0,0,0,0,1,39,0,0,0
SELECT * FROM color,1,0,0,0,0,0,4,2,0,0,1,2,0,0,0,0,0,1,15,0,0,0
SELECT AVG ( conversation ) FROM plenty,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,31,0,0,0
SELECT courage,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,13,0,0,0
SELECT AVG ( various )  FROM stop  SELECT SUM ( women ) ,1,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,2,38,0,0,0
"  SELECT TIME_FORMAT ( ""19:30:10"", ""%T"" ) ;",1,0,4,10,0,0,7,2,0,1,1,2,0,0,0,0,0,1,17,6,4,0
" SELECT * FROM family ORDER BY south, angle",1,0,0,1,0,0,8,3,0,0,1,2,0,0,0,0,0,1,33,0,0,0
SELECT TOP 3 * FROM separate WHERE discover = 'solution' SELECT * FROM income,1,2,0,2,0,0,14,3,0,0,1,4,0,0,0,0,0,2,58,1,2,0
"  SELECT City, Country FROM SuppliersWHERE Country = 'Germany'ORDER BY City; SELECT City, Country FROM Customers",1,2,0,5,0,0,15,5,0,0,2,3,0,0,0,0,0,2,90,0,2,0
DELETE FROM cookies WHERE parallel = 'correctly',1,2,0,2,0,0,7,2,1,0,2,3,0,0,0,0,0,1,39,0,2,0
"SELECT CONVERT ( 150, CHAR ) ;",1,0,0,4,0,0,7,1,2,0,0,0,0,0,0,0,0,1,17,3,0,0
SELECT COUNT ( beginningID ) FROM were,1,0,0,2,0,0,7,3,0,0,2,2,0,0,0,0,0,1,30,0,0,0
SELECT mountain ( s )  FROM shoe SELECT believed ( s ) ,1,0,0,4,0,0,12,3,0,0,1,1,0,0,0,0,0,2,38,0,0,0
"  SELECT * FROM belt WHERE sharp NOT IN  ( 'smell', 'opportunity', 'start' )  ",1,6,0,10,0,0,13,3,0,0,3,4,0,0,0,0,0,1,50,0,6,0
"  SELECT articleID AS ID, planning AS thousand FROM related",1,0,0,1,0,0,9,3,2,0,3,3,0,0,0,0,0,1,48,0,0,0
"  SELECT * FROM sharp WHERE bigger NOT IN  ( 'since', 'likely', 'through' )  ",1,6,0,10,0,0,13,4,0,0,4,5,0,0,0,0,0,1,49,0,6,0
FROM  ( SELECT DISTINCT shine FROM farmer ) ,1,0,0,2,0,0,8,3,0,0,2,2,0,0,0,0,0,1,33,0,0,0
"  SELECT POW ( 4, 2 ) ;",1,0,0,4,0,0,7,1,0,0,0,0,0,0,0,0,0,1,9,2,0,0
SELECT COUNT ( just )  FROM shoe,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,23,0,0,0
 UPDATE tiny SET follow = 'tight'WHERE return = 'rocky',1,4,0,4,0,0,9,4,0,0,1,3,0,0,0,0,0,1,40,0,4,0
SELECT dirty ( s ) FROM matter INNER JOIN,1,0,0,2,0,0,9,4,0,0,2,2,0,0,0,0,0,1,31,0,0,0
"  SELECT making AS hang, class AS [found]  FROM claws",1,0,0,3,0,0,9,2,3,0,1,1,0,0,0,0,0,1,39,0,0,0
SELECT * FROM two WHERE library = 'keep'  OR ants = 'closely',1,4,0,4,0,0,12,2,0,0,1,4,0,0,0,0,0,1,42,0,4,0
SELECT * FROM law ORDER BY line DESC,1,0,0,0,0,0,8,5,0,0,2,3,0,0,0,0,0,1,28,0,0,0
SELECT prevent ( s )  FROM saw,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,21,0,0,0
SELECT * FROM clock WHERE porch = 'character',1,2,0,2,0,0,8,2,1,0,1,3,0,0,0,0,0,2,34,0,2,0
SELECT COUNT ( steady ) FROM recognize,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,30,0,0,0
SELECT AVG ( sat ) FROM character SELECT SUM ( practical ) ,1,0,0,4,0,0,12,2,1,0,0,0,0,0,0,0,0,2,43,0,0,0
SELECT * FROM even,1,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,14,0,0,0
SELECT * FROM seldom WHERE spell = 'noted',1,2,0,2,0,0,8,1,0,0,1,3,0,0,0,0,0,1,31,0,2,0
SELECT option_value FROM wp_options WHERE option_name  =  'options_footer_button_1_text' LIMIT 1,1,2,0,2,0,0,10,1,0,0,0,1,0,0,0,0,0,1,73,2,2,0
" SELECT * FROM solid ORDER BY captured, nest",1,0,0,1,0,0,8,3,0,0,1,2,0,0,0,0,0,1,34,0,0,0
SELECT MIN ( explain )  AS wrote FROM eight,1,0,0,2,0,0,9,3,1,0,2,2,0,0,0,0,0,1,32,0,0,0
"  UPDATE gas SET memory =  'condition', City =  'start' WHERE line =  speak",1,4,0,5,0,0,13,5,1,0,2,5,0,0,0,0,0,1,50,0,4,0
SELECT * FROM that  WHERE suddenly = connected,1,0,0,0,0,0,8,1,0,0,0,2,0,0,0,0,0,1,36,0,0,0
SELECT AVG ( greatest ) FROM seen,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,1,25,0,0,0
SELECT TOP 3 * FROM wheat WHERE along = 'swept',1,2,0,2,0,0,10,1,0,0,0,2,0,0,0,0,0,1,33,1,2,0
SELECT string ( s )  FROM possible SELECT knew ( s ) ,1,0,0,4,0,0,12,3,0,0,1,1,0,0,0,0,0,2,36,0,0,0
" SELECT * FROM he ORDER BY usually ASC, rapidly DESC",1,0,0,1,0,0,10,6,1,0,2,3,0,0,0,0,0,1,40,0,0,0
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 3823 )  ORDER BY meta_id ASC",1,0,0,4,0,0,16,5,1,0,2,2,0,0,0,0,0,1,71,4,0,0
SELECT number FROM may,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,19,0,0,0
SELECT AVG ( unhappy ) FROM require SELECT SUM ( trip ) ,1,0,0,4,0,0,12,2,0,0,0,0,0,0,0,0,0,2,40,0,0,0
SELECT * FROM think WHERE property BETWEEN kill09/01/1996flag AND yourself15/31/1996love,1,0,0,0,0,0,10,3,0,0,4,9,0,0,0,0,0,1,58,16,0,0
SELECT * FROM plane WHERE band = 'gold' FETCH FIRST 3 ROWS ONLY,1,2,0,2,0,0,13,2,0,0,2,4,0,0,0,0,0,1,46,1,2,0
SELECT MIN ( low )  AS plate FROM teeth,1,0,0,2,0,0,9,2,1,0,1,1,0,0,0,0,0,1,28,0,0,0
SELECT * FROM excitement FETCH FIRST 50 PERCENT ROWS ONLY,1,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,1,45,2,0,0
SELECT * FROM middle,1,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,16,0,0,0
SELECT * FROM carbon WHERE organized BETWEEN 'ants' AND 'girl',1,4,0,4,0,0,10,3,0,0,4,5,0,0,0,0,0,1,48,0,4,0
SELECT * FROM practical FETCH FIRST 50 PERCENT ROWS ONLY,1,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,1,44,2,0,0
SELECT heading ( s ) FROM between INNER JOIN,1,0,0,2,0,0,9,5,0,0,4,4,0,0,0,0,0,1,34,0,0,0
SELECT AVG ( basic ) FROM belt SELECT SUM ( carefully ) ,1,0,0,4,0,0,12,2,1,0,0,0,0,0,0,0,0,2,40,0,0,0
